Module,Name,Status,Severity,Timestamp,Explanation,Recommendation
Services,AdobeUpdateService,Running,,2025-09-22T11:19:49.052692,Service AdobeUpdateService is Running.,Manual review recommended
Services,ADPSvc,Stopped,,2025-09-22T11:19:49.052764,"Service ""ADPSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,ALG,Stopped,,2025-09-22T11:19:49.052776,"Service ""ALG"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,AppIDSvc,Stopped,,2025-09-22T11:19:49.052785,"Service ""AppIDSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,Appinfo,Running,,2025-09-22T11:19:49.052793,Service Appinfo is Running.,Manual review recommended
Services,AppReadiness,Stopped,,2025-09-22T11:19:49.052803,"Service ""AppReadiness"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,AppXSvc,Stopped,,2025-09-22T11:19:49.052811,"Service ""AppXSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,ApxSvc,Stopped,,2025-09-22T11:19:49.052818,"Service ""ApxSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,aspnet_state,Stopped,,2025-09-22T11:19:49.052826,"Service ""aspnet_state"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,AudioEndpointBuilder,Running,,2025-09-22T11:19:49.052833,Service AudioEndpointBuilder is Running.,Manual review recommended
Services,Audiosrv,Running,,2025-09-22T11:19:49.052841,Service Audiosrv is Running.,Manual review recommended
Services,autotimesvc,Stopped,,2025-09-22T11:19:49.052849,"Service ""autotimesvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,AxInstSV,Stopped,,2025-09-22T11:19:49.052857,"Service ""AxInstSV"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,BDESVC,Running,,2025-09-22T11:19:49.052864,Service BDESVC is Running.,Manual review recommended
Services,BFE,Running,,2025-09-22T11:19:49.052871,Service BFE is Running.,Manual review recommended
Services,BITS,Stopped,,2025-09-22T11:19:49.052879,"Service ""BITS"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,BrokerInfrastructure,Running,,2025-09-22T11:19:49.052887,Service BrokerInfrastructure is Running.,Manual review recommended
Services,Browser,Stopped,,2025-09-22T11:19:49.052894,"Service ""Browser"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,BTAGService,Stopped,,2025-09-22T11:19:49.052902,"Service ""BTAGService"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,BthAvctpSvc,Stopped,,2025-09-22T11:19:49.052909,"Service ""BthAvctpSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,bthserv,Running,,2025-09-22T11:19:49.052917,Service bthserv is Running.,Manual review recommended
Services,c2wts,Stopped,,2025-09-22T11:19:49.052924,"Service ""c2wts"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,camsvc,Running,,2025-09-22T11:19:49.052932,Service camsvc is Running.,Manual review recommended
Services,CDPSvc,Running,,2025-09-22T11:19:49.052939,Service CDPSvc is Running.,Manual review recommended
Services,CertPropSvc,Running,,2025-09-22T11:19:49.052947,Service CertPropSvc is Running.,Manual review recommended
Services,ClickToRunSvc,Running,,2025-09-22T11:19:49.052955,Service ClickToRunSvc is Running.,Manual review recommended
Services,ClipSVC,Stopped,,2025-09-22T11:19:49.052963,"Service ""ClipSVC"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,COMSysApp,Stopped,,2025-09-22T11:19:49.052970,"Service ""COMSysApp"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,CoreMessagingRegistrar,Running,,2025-09-22T11:19:49.052977,Service CoreMessagingRegistrar is Running.,Manual review recommended
Services,cplspcon,Running,,2025-09-22T11:19:49.052986,Service cplspcon is Running.,Manual review recommended
Services,CryptSvc,Running,,2025-09-22T11:19:49.052994,Service CryptSvc is Running.,Manual review recommended
Services,DcomLaunch,Running,,2025-09-22T11:19:49.053001,Service DcomLaunch is Running.,Manual review recommended
Services,dcsvc,Stopped,,2025-09-22T11:19:49.053009,"Service ""dcsvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,debugregsvc,Stopped,,2025-09-22T11:19:49.053016,"Service ""debugregsvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,defragsvc,Stopped,,2025-09-22T11:19:49.053024,"Service ""defragsvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DeveloperToolsService,Stopped,,2025-09-22T11:19:49.053031,"Service ""DeveloperToolsService"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DeviceAssociationService,Running,,2025-09-22T11:19:49.053038,Service DeviceAssociationService is Running.,Manual review recommended
Services,DeviceInstall,Stopped,,2025-09-22T11:19:49.053046,"Service ""DeviceInstall"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DevQueryBroker,Stopped,,2025-09-22T11:19:49.053053,"Service ""DevQueryBroker"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,Dhcp,Running,,2025-09-22T11:19:49.053061,Service Dhcp is Running.,Manual review recommended
Services,diagsvc,Stopped,,2025-09-22T11:19:49.053069,"Service ""diagsvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DiagTrack,Running,,2025-09-22T11:19:49.053077,Service DiagTrack is Running.,Manual review recommended
Services,DispBrokerDesktopSvc,Running,,2025-09-22T11:19:49.053084,Service DispBrokerDesktopSvc is Running.,Manual review recommended
Services,DisplayEnhancementService,Running,,2025-09-22T11:19:49.053092,Service DisplayEnhancementService is Running.,Manual review recommended
Services,DmEnrollmentSvc,Stopped,,2025-09-22T11:19:49.053100,"Service ""DmEnrollmentSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,dmwappushservice,Stopped,,2025-09-22T11:19:49.053108,"Service ""dmwappushservice"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,Dnscache,Running,,2025-09-22T11:19:49.053115,Service Dnscache is Running.,Manual review recommended
Services,DoSvc,Running,,2025-09-22T11:19:49.053122,Service DoSvc is Running.,Manual review recommended
Services,dot3svc,Stopped,,2025-09-22T11:19:49.053130,"Service ""dot3svc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DPS,Running,,2025-09-22T11:19:49.053137,Service DPS is Running.,Manual review recommended
Services,DsmSvc,Stopped,,2025-09-22T11:19:49.053145,"Service ""DsmSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DsSvc,Stopped,,2025-09-22T11:19:49.053153,"Service ""DsSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DummyService,Stopped,,2025-09-22T11:19:49.053160,"Service ""DummyService"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,DusmSvc,Running,,2025-09-22T11:19:49.053168,Service DusmSvc is Running.,Manual review recommended
Services,EapHost,Stopped,,2025-09-22T11:19:49.053176,"Service ""EapHost"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,edgeupdate,Stopped,,2025-09-22T11:19:49.053184,"Service ""edgeupdate"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,edgeupdatem,Stopped,,2025-09-22T11:19:49.053192,"Service ""edgeupdatem"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,EFS,Stopped,,2025-09-22T11:19:49.053200,"Service ""EFS"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,ELAN_MOC_Service,Running,,2025-09-22T11:19:49.053207,Service ELAN_MOC_Service is Running.,Manual review recommended
Services,embeddedmode,Stopped,,2025-09-22T11:19:49.053215,"Service ""embeddedmode"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,EntAppSvc,Stopped,,2025-09-22T11:19:49.053223,"Service ""EntAppSvc"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,esifsvc,Running,,2025-09-22T11:19:49.053235,Service esifsvc is Running.,Manual review recommended
Services,ETDService,Running,,2025-09-22T11:19:49.053246,Service ETDService is Running.,Manual review recommended
Services,EventLog,Running,,2025-09-22T11:19:49.053257,Service EventLog is Running.,Manual review recommended
Services,EventSystem,Running,,2025-09-22T11:19:49.053267,Service EventSystem is Running.,Manual review recommended
Services,Fax,Stopped,,2025-09-22T11:19:49.053289,"Service ""Fax"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
Services,fdPHost,Stopped,,2025-09-22T11:19:49.053299,"Service ""fdPHost"" is set to start automatically but is currently stopped.
Dependent features or applications may fail.",Check Event Viewer for error codes; restart the service if appropriate or change its Startup Type to Manual if it’s no longer needed.
